name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
Smile Dental - Queen Street - Auckland CBD,"2/246 Queen Street, Auckland CBD, Auckland 1010, New Zealand",0800 476 453,+64 800 476 453,http://smiledental.co.nz/,4.7,1262,OPERATIONAL,https://maps.google.com/?cid=3794320053947191746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Queen Street Dental Centre,"Level 1/87 Queen Street, Auckland CBD, Auckland 1010, New Zealand",09 373 2456,+64 9 373 2456,https://www.queenstdentist.com/,4.9,20,OPERATIONAL,https://maps.google.com/?cid=2232408021547439888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Auckland Central | Lumino The Dentists,"1, Aon Centre 1/29 Customs Street West, Auckland CBD, Auckland 1010, New Zealand",09 373 4962,+64 9 373 4962,https://lumino.co.nz/dentists/auckland-central/?utm_source=google_business_profile&utm_medium=organic,4.4,78,OPERATIONAL,https://maps.google.com/?cid=10180160457789129981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 6:30 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 5:00 PM; Saturday: 8:30 AM – 3:00 PM; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Lumino City Dental at Quay Park,"68 Beach Road Level 2, Quay Park Health Centre, Quay Park Health Centre 2/68 Beach Road, Auckland CBD, Auckland 1010, New Zealand",09 919 2660,+64 9 919 2660,https://lumino.co.nz/dentists/city-dental-quay-park-auckland-cbd/?utm_source=google_business_profile&utm_medium=organic,4.8,159,OPERATIONAL,https://maps.google.com/?cid=16994687418647718947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Symonds Street Dental Centre,"Ground Floor/73 Symonds Street, Grafton, Auckland 1010, New Zealand",09 379 7380,+64 9 379 7380,http://www.justsmile.co.nz/,5,198,OPERATIONAL,https://maps.google.com/?cid=14970110955409742868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:30 AM – 5:00 PM; Tuesday: 7:30 AM – 5:00 PM; Wednesday: 7:30 AM – 4:00 PM; Thursday: 7:30 AM – 6:00 PM; Friday: 7:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
The Tooth Company Britomart,"54 Customs Street East, Auckland CBD, Auckland 1010, New Zealand",09 379 0099,+64 9 379 0099,http://www.thetoothcompany.co.nz/,4.7,62,OPERATIONAL,https://maps.google.com/?cid=305329263338186006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: 8:00 AM – 2:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Downtown Dental,"Suite 102, Dilworth Building 1st Floor/22-32 Queen Street, Auckland CBD, Auckland 1010, New Zealand",09 302 0379,+64 9 302 0379,https://www.downtowndental.co.nz/,4.9,25,OPERATIONAL,https://maps.google.com/?cid=3513440912600205068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 AM – 4:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
City Dental Lounge,"AON Centre 12/29 Customs Street West, Auckland CBD, Auckland 1010, New Zealand",09 366 1322,+64 9 366 1322,http://www.citydentallounge.nz/,5,101,OPERATIONAL,https://maps.google.com/?cid=8277697924611574976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 9:00 AM – 5:30 PM; Thursday: 9:00 AM – 5:30 PM; Friday: 9:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Li & Lawson Dental,"36 Kitchener Street, Auckland CBD, Auckland 1010, New Zealand",09 302 2313,+64 9 302 2313,https://www.healthpoint.co.nz/dentistry/general-dentist/li-lawson-dental/,4.8,39,OPERATIONAL,https://maps.google.com/?cid=8372936552762793151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 12:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Quay Street Dental,"10/8 Quay Street, Auckland CBD, Auckland 1010, New Zealand",09 379 4888,+64 9 379 4888,http://www.quaystreetdental.co.nz/,4.8,175,OPERATIONAL,https://maps.google.com/?cid=18213725601146388615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
