name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
Tauranga Dental House,"8 Willow Street, Tauranga 3110, New Zealand",07 578 9849,+64 7 578 9849,https://www.taurangadentalhouse.co.nz/,4.9,55,OPERATIONAL,https://maps.google.com/?cid=13036658088726037210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Tauranga Crossing Dental,"Shop 19, Tauranga Crossing, 2 Taurikura Drive, Tauriko, Tauranga 3110, New Zealand",07 543 1123,+64 7 543 1123,http://www.taurangacrossingdental.co.nz/,4.9,100,OPERATIONAL,https://maps.google.com/?cid=6927690827659613170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 8:30 AM – 1:30 PM; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Team Dental Tauranga - 2nd Ave,"Accident And Emergency Centre 19 Second Avenue, Tauranga 3110, New Zealand",07 571 1230,+64 7 571 1230,https://www.team-dental.co.nz/bay-of-plenty/tauranga-2nd-ave/?utm_campaign=2nd-ave&utm_medium=gbp&utm_source=google,4.4,133,OPERATIONAL,https://maps.google.com/?cid=5277268468885516254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: 1:00 – 4:00 PM,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
The Dentists - Tauranga,"344 Otumoetai Road, Otūmoetai, Tauranga 3110, New Zealand",07 576 4895,+64 7 576 4895,https://www.dentiststauranga.co.nz/,4.9,151,OPERATIONAL,https://maps.google.com/?cid=1163028908005125530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Team Dental Tauranga - 16th Ave,"131 Sixteenth Avenue, Tauranga South, Tauranga 3112, New Zealand",07 578 4607,+64 7 578 4607,https://www.team-dental.co.nz/bay-of-plenty/tauranga-sixteenth-ave/?utm_campaign=16th-ave&utm_medium=gbp&utm_source=google,4.6,32,OPERATIONAL,https://maps.google.com/?cid=8042206036398684962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Dental Solutions,"36 Cameron Road, Tauranga 3110, New Zealand",07 578 4409,+64 7 578 4409,https://www.gr8smile.co.nz/,4.9,47,OPERATIONAL,https://maps.google.com/?cid=4563483808660378736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Complete Dental Care,"205 Chadwick Road, Greerton, Tauranga 3112, New Zealand",07 578 7215,+64 7 578 7215,http://www.completedentalcare.co.nz/,3.8,116,OPERATIONAL,https://maps.google.com/?cid=12080626555950360557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
ER Dental at Seventh,"52 Seventh Avenue, Tauranga 3110, New Zealand",07 578 3305,+64 7 578 3305,https://www.erdental.co.nz/er-dental-seventh-avenue/,4.9,180,OPERATIONAL,https://maps.google.com/?cid=10925001759143679766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
City Dental On The Park Tauranga | Lumino The Dentists,"14 Cameron Road, Tauranga 3110, New Zealand",07 578 8325,+64 7 578 8325,https://lumino.co.nz/dentists/city-dental-on-the-park-tauranga/?utm_source=google_business_profile&utm_medium=organic,4.4,25,OPERATIONAL,https://maps.google.com/?cid=15279705683945133267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
Brush Dental Tauranga,"87 Fraser Street, Tauranga South, Tauranga 3112, New Zealand",07 213 0232,+64 7 213 0232,https://www.brushdental.co.nz/contact,5,11,OPERATIONAL,https://maps.google.com/?cid=10117397365785567261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Bay of Plenty,Tauranga,no_prices,2026-03-18
