name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Pathway Dental,"1/110 Riccarton Road, Riccarton, Christchurch 8011, New Zealand",03 366 8866,+64 3 366 8866,https://www.pathwaydentists.co.nz/,4.9,275,OPERATIONAL,https://maps.google.com/?cid=6660264857974970299&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch CBD,no_prices
Garden City Dental,"237 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 379 6222,+64 3 379 6222,http://www.gardencitydental.co.nz/,4,231,OPERATIONAL,https://maps.google.com/?cid=18307314576042658912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 9:00 PM; Tuesday: 7:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: 8:30 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch CBD,no_prices
Lumino The Dentist - Christchurch City CBD,"71 Gloucester Street, Christchurch Central City, Christchurch 8013, New Zealand",03 550 1428,+64 3 550 1428,https://lumino.co.nz/dentists/christchurch-city-cbd/?utm_source=google_business_profile&utm_medium=organic,4.5,55,OPERATIONAL,https://maps.google.com/?cid=15233995146640230742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Riverside Dental Christchurch City,"69 Cambridge Terrace, City Centre, Christchurch 8013, New Zealand",03 366 1614,+64 3 366 1614,http://riversidedental.co.nz/,4.9,52,OPERATIONAL,https://maps.google.com/?cid=13470795469477124748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Riccarton Dental Studio (Previously Stafford Dental Centre - Sockburn),"37 Main South Road, Sockburn, Christchurch 8042, New Zealand",03 366 1555,+64 3 366 1555,https://riccartondentalstudio.co.nz/,5,557,OPERATIONAL,https://maps.google.com/?cid=2327793586611262823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 9:00 PM; Tuesday: 8:30 AM – 9:00 PM; Wednesday: 8:30 AM – 9:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 9:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch CBD,no_prices
Smile Concepts,"104 Colombo Street, Sydenham, Christchurch 8023, New Zealand",03 332 6399,+64 3 332 6399,http://www.smileconcepts.co.nz/,4.9,184,OPERATIONAL,https://maps.google.com/?cid=1382244786071358925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 6:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Christchurch Boutique Dental,"105 Wainui Street, Riccarton, Christchurch 8041, New Zealand",03 925 9929,+64 3 925 9929,https://boutiquedental.co.nz/,5,283,OPERATIONAL,https://maps.google.com/?cid=15278436680873128174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Studio Dental,"369 Papanui Road, Strowan, Christchurch 8052, New Zealand",03 366 3399,+64 3 366 3399,https://www.studiodental.nz/,5,200,OPERATIONAL,https://maps.google.com/?cid=16146123421837401325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Colombo Street Dental,"201 Colombo Street, Sydenham, Christchurch 8023, New Zealand",03 337 4596,+64 3 337 4596,https://colombostreetdental.co.nz/,4.5,178,OPERATIONAL,https://maps.google.com/?cid=7365021975520855603&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: 8:00 AM – 1:00 PM, 2:00 – 7:00 PM; Tuesday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Wednesday: 8:00 AM – 1:00 PM, 2:00 – 5:00 PM; Thursday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Friday: 8:00 AM – 1:00 PM, 2:00 – 6:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed",dental_clinic,Canterbury,Christchurch CBD,no_prices
Bealey Dental,"163 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 366 2912,+64 3 366 2912,http://www.bealeydental.co.nz/,4.6,62,OPERATIONAL,https://maps.google.com/?cid=3023666240600375148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 8:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Sydenham Dental Centre,"58 Wordsworth Street, Sydenham, Christchurch 8023, New Zealand",03 366 7429,+64 3 366 7429,https://www.sydenhamdentalcentre.co.nz/,4.1,183,OPERATIONAL,https://maps.google.com/?cid=4244079002428834183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 7:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Linwood Ave Dental,"201A Linwood Avenue, Linwood, Christchurch 8011, New Zealand",03 389 6023,+64 3 389 6023,,4.3,40,OPERATIONAL,https://maps.google.com/?cid=5496929252571252806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Dental on Kilmore,"128 Kilmore Street, Christchurch Central City, Christchurch 8013, New Zealand",03 379 6766,+64 3 379 6766,https://www.dentalonkilmore.co.nz/?utm_source=Google&utm_medium=Organic&utm_campaign=GBP&utm_term=Website,5,20,OPERATIONAL,https://maps.google.com/?cid=17525940286090312970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Cathedral Dental Centre,"Level 1/793 Colombo Street, Christchurch Central City, Christchurch 8013, New Zealand",03 379 8065,+64 3 379 8065,http://www.cathedraldental.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=411798700341089302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Team Dental Bealey,"212 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 595 0738,+64 3 595 0738,https://www.team-dental.co.nz/christchurch/bealey-avenue?utm_campaign=bealey&utm_medium=gbp&utm_source=google,4.8,102,OPERATIONAL,https://maps.google.com/?cid=9312900694082185217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
Essential Dental,"91 Riccarton Road, Riccarton, Christchurch 8011, New Zealand",03 242 0688,+64 3 242 0688,https://www.essentialdental.nz/,4.8,77,OPERATIONAL,https://maps.google.com/?cid=14929443245415780357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch CBD,no_prices
