name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town
Christchurch Boutique Dental,"105 Wainui Street, Riccarton, Christchurch 8041, New Zealand",03 925 9929,+64 3 925 9929,https://boutiquedental.co.nz/,5,282,OPERATIONAL,https://maps.google.com/?cid=15278436680873128174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Pathway Dental,"1/110 Riccarton Road, Riccarton, Christchurch 8011, New Zealand",03 366 8866,+64 3 366 8866,https://www.pathwaydentists.co.nz/,4.9,275,OPERATIONAL,https://maps.google.com/?cid=6660264857974970299&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 7:00 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 9:00 AM – 7:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch
Garden City Dental,"237 Bealey Avenue, Christchurch Central City, Christchurch 8013, New Zealand",03 379 6222,+64 3 379 6222,http://www.gardencitydental.co.nz/,4,231,OPERATIONAL,https://maps.google.com/?cid=18307314576042658912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 9:00 PM; Tuesday: 7:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: 8:30 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch
Sydenham Dental Centre,"58 Wordsworth Street, Sydenham, Christchurch 8023, New Zealand",03 366 7429,+64 3 366 7429,https://www.sydenhamdentalcentre.co.nz/,4.1,183,OPERATIONAL,https://maps.google.com/?cid=4244079002428834183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 7:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Riverside Dental Christchurch City,"69 Cambridge Terrace, City Centre, Christchurch 8013, New Zealand",03 366 1614,+64 3 366 1614,http://riversidedental.co.nz/,4.9,52,OPERATIONAL,https://maps.google.com/?cid=13470795469477124748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Riccarton Dental Studio (Previously Stafford Dental Centre - Sockburn),"37 Main South Road, Sockburn, Christchurch 8042, New Zealand",03 366 1555,+64 3 366 1555,https://riccartondentalstudio.co.nz/,5,556,OPERATIONAL,https://maps.google.com/?cid=2327793586611262823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 9:00 PM; Tuesday: 8:30 AM – 9:00 PM; Wednesday: 8:30 AM – 9:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 9:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,dental_clinic,Canterbury,Christchurch
Studio Dental,"369 Papanui Road, Strowan, Christchurch 8052, New Zealand",03 366 3399,+64 3 366 3399,https://www.studiodental.nz/,5,197,OPERATIONAL,https://maps.google.com/?cid=16146123421837401325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Maidstone Dental,"78 Maidstone Road, Ilam, Christchurch 8041, New Zealand",03 357 0446,+64 3 357 0446,https://maidstonedental.co.nz/,4.9,86,OPERATIONAL,https://maps.google.com/?cid=8711245351245243854&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Bush Dental,"400 Greers Road, Bishopdale, Christchurch 8053, New Zealand",03 352 6233,+64 3 352 6233,https://christchurchdentists.nz/,4.6,118,OPERATIONAL,https://maps.google.com/?cid=3109651253138723499&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
Lumino The Dentist - Christchurch City CBD,"71 Gloucester Street, Christchurch Central City, Christchurch 8013, New Zealand",03 550 1428,+64 3 550 1428,https://lumino.co.nz/dentists/christchurch-city-cbd/?utm_source=google_business_profile&utm_medium=organic,4.5,54,OPERATIONAL,https://maps.google.com/?cid=15233995146640230742&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Canterbury,Christchurch
