name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Dental Care Centre,"19 Derby Street, Gisborne 4010, New Zealand",06 867 9108,+64 6 867 9108,https://dentalcarecentre.co.nz/,4.8,167,OPERATIONAL,https://maps.google.com/?cid=10784187209415179110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Gisborne,no_prices
Amber Dental,"136 Ormond Road, Whataupoko, Gisborne 4010, New Zealand",06 929 1614,+64 6 929 1614,https://amberdental.co.nz/,4.8,159,OPERATIONAL,https://maps.google.com/?cid=14161867576854133109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 1:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: 9:00 AM – 1:00 PM,dental_clinic,Gisborne,Gisborne,no_prices
Ocean Dental Centre Gisborne,"202 Grey Street, Gisborne 4010, New Zealand",06 868 1995,+64 6 868 1995,,3.8,21,OPERATIONAL,https://maps.google.com/?cid=2694995238589284581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Gisborne,no_prices
Edgar Dental,"252 Childers Road, Gisborne 4010, New Zealand",06 867 9329,+64 6 867 9329,https://edgardental.co.nz/,4.5,21,OPERATIONAL,https://maps.google.com/?cid=5606975865095949893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Gisborne,no_prices
Mayfair Dental,"18 Fitzherbert Street, Whataupoko, Gisborne 4010, New Zealand",06 867 3956,+64 6 867 3956,http://www.mayfairdental.co.nz/,2.9,26,OPERATIONAL,https://maps.google.com/?cid=13956893993758253918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Gisborne,no_prices
Wahaora Dental Clinic,"80 De Lautour Road, Inner Kaiti, Gisborne 4010, New Zealand",06 867 5096,+64 6 867 5096,https://www.hauoratairawhiti.org.nz/,,,OPERATIONAL,https://maps.google.com/?cid=11517200782445016130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Gisborne,some_prices
Ruatoria Community Health Centre,"1 Tuparoa Road, Ruatoria 4032, New Zealand",06 864 8316,+64 6 864 8316,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/ruatoria-community-health-centre/,5,2,OPERATIONAL,https://maps.google.com/?cid=2898175441787431518&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Ruatoria,no_prices
Tokomaru Bay Community Health Centre,"Tokomaru Street, Tokomaru Bay 4079, New Zealand",06 864 5859,+64 6 864 5859,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/tokomaru-bay-community-health-centre/,4.3,3,OPERATIONAL,https://maps.google.com/?cid=956555733510623586&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Gisborne,Tokomaru Bay,no_prices
Four Square Tokomaru Bay,"Main Road, Tokomaru Bay 4010, New Zealand",06 864 5718,+64 6 864 5718,https://www.foursquare.co.nz/upper-north-island/east-cape/tokomaru-bay?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_term=plcid_643652241157039998&utm_content=Four+Square+Tokomaru+Bay,4.6,116,OPERATIONAL,https://maps.google.com/?cid=108302147209153262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 7:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM,dental_clinic,Gisborne,Tokomaru Bay,no_prices
Uawa Community Health Centre,"40 Banks Street, Tolaga Bay 4077, New Zealand",06 862 6650,+64 6 862 6650,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/uawa-community-health-centre/,,,OPERATIONAL,https://maps.google.com/?cid=9025731318993459545&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:00 PM; Tuesday: 8:30 AM – 4:00 PM; Wednesday: 8:30 AM – 4:00 PM; Thursday: 8:30 AM – 4:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Gisborne,Tolaga Bay,no_prices
