name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Napier Dentist - Golden Apple Dental,"17 Tennyson Street, Napier South, Napier 4110, New Zealand",06 833 6522,+64 6 833 6522,https://www.gadental.co.nz/,4.6,31,OPERATIONAL,https://maps.google.com/?cid=7609199968400447551&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Kennedy Road Dental,"100 Kennedy Road, Napier South, Napier 4110, New Zealand",06 835 5100,+64 6 835 5100,,4.1,27,OPERATIONAL,https://maps.google.com/?cid=3897958441433560705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Monday: 8:30 AM – 1:00 PM, 2:00 – 6:00 PM; Tuesday: 8:30 AM – 1:00 PM, 2:00 – 5:00 PM; Wednesday: 8:30 AM – 1:00 PM, 2:00 – 5:00 PM; Thursday: 8:30 AM – 1:00 PM, 2:00 – 5:00 PM; Friday: 8:30 AM – 1:00 PM; Saturday: Closed; Sunday: Closed",dental_clinic,Hawke's Bay,Napier,no_prices
Dental on Raffles,"106 Raffles Street, Hawkes Bay, Napier 4110, New Zealand",06 835 6253,+64 6 835 6253,https://www.dentalonraffles.co.nz/,4.6,92,OPERATIONAL,https://maps.google.com/?cid=860134473323849098&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
City Dental Napier. Yes,"24 Shakespeare Road, Bluff Hill, Napier 4110, New Zealand",06 833 6938,+64 6 833 6938,https://citydentalnapier.co.nz/,5,9,OPERATIONAL,https://maps.google.com/?cid=14056939741327606589&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Dentiq,"20 Gloucester Street, Greenmeadows, Napier 4112, New Zealand",06 880 6161,+64 6 880 6161,https://www.dentiq.nz/,4.7,78,OPERATIONAL,https://maps.google.com/?cid=10482792220949206725&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Clive Square Dental Associates,"27 Clive Square West, Napier South, Napier 4110, New Zealand",06 835 8169,+64 6 835 8169,http://www.clivesquaredental.co.nz,4.5,13,OPERATIONAL,https://maps.google.com/?cid=4135379495411801055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Jocelin McIntosh - Central Napier Dental Practice,"24 Shakespeare Road, Bluff Hill, Napier 4110, New Zealand",06 833 6938,+64 6 833 6938,,5,4,OPERATIONAL,https://maps.google.com/?cid=12527959957241111292&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 2:30 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: Closed; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Napier Dental Practice | Lumino The Dentists,"157 Tennyson Street, Napier South, Napier 4110, New Zealand",06 835 8849,+64 6 835 8849,https://lumino.co.nz/dentists/napier-dental-practice/?utm_source=google_business_profile&utm_medium=organic,4.5,28,OPERATIONAL,https://maps.google.com/?cid=3587201235769370313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 4:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
Parkside Dental,"514 Kennedy Road, Greenmeadows, Napier 4112, New Zealand",06 845 3544,+64 6 845 3544,https://parksidedental.co.nz/,4.8,37,OPERATIONAL,https://maps.google.com/?cid=14984151449155300988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
The Dentists - Taradale,"18 Meeanee Road, Taradale, Napier 4112, New Zealand",06 844 2718,+64 6 844 2718,https://www.dentiststaradale.co.nz/,4.9,220,OPERATIONAL,https://maps.google.com/?cid=8450697217560955499&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Hawke's Bay,Napier,no_prices
