name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
Primecare Dental Palmerston North,"6 Vivian Street, Palmerston North Central, Palmerston North 4414, New Zealand",06 358 5882,+64 6 358 5882,https://primecaredental.co.nz/contact-us/palmerston-north/,4.9,355,OPERATIONAL,https://maps.google.com/?cid=13244673064637183164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Smile Dental - Palmerston North,"22 Victoria Avenue, Palmerston North Central, Palmerston North 4410, New Zealand",0800 476 453,+64 800 476 453,https://www.smiledental.co.nz/,4.7,605,OPERATIONAL,https://maps.google.com/?cid=3500506733703617397&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Carpenters Dental Palmerston North,"332 Broadway Avenue, Palmerston North Central, Palmerston North 4414, New Zealand",06 355 8218,+64 6 355 8218,http://www.carpentersdental.co.nz/,4.2,75,OPERATIONAL,https://maps.google.com/?cid=17728271361831827796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:45 AM – 5:00 PM; Tuesday: 7:45 AM – 5:00 PM; Wednesday: 7:45 AM – 5:00 PM; Thursday: 7:45 AM – 5:00 PM; Friday: 7:45 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
M Dental,"18 Victoria Avenue, Palmerston North Central, Palmerston North 4410, New Zealand",06 355 5273,+64 6 355 5273,http://www.mdental.co.nz/,3.9,47,OPERATIONAL,https://maps.google.com/?cid=16377178472293517553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
"Vivian street Dental, Palmerston North","6 Vivian Street, Palmerston North Central, Palmerston North 4414, New Zealand",06 358 5882,+64 6 358 5882,,3.8,25,OPERATIONAL,https://maps.google.com/?cid=733531340688721221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:30 AM – 5:30 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Rapid Response Dental,"277 Broadway Avenue, Palmerston North Central, Palmerston North 4414, New Zealand",06 358 8277,+64 6 358 8277,https://www.rapidresponsedental.co.nz/,4.4,53,OPERATIONAL,https://maps.google.com/?cid=14959161709552176688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 6:30 PM; Thursday: 8:00 AM – 7:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Lumino Palmerston North | Lumino The Dentists,"The Palm Medical Centre, Suite 1/445 Ferguson Street, Palmerston North Central, Palmerston North 4410, New Zealand",06 356 9020,+64 6 356 9020,https://lumino.co.nz/dentists/palmerston-north-dental-practice/?utm_source=google_business_profile&utm_medium=organic,3.6,45,OPERATIONAL,https://maps.google.com/?cid=7865709145856736350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Highbury Dental,"12 Brentwood Avenue, Highbury, Palmerston North 4412, New Zealand",06 222 3585,+64 6 222 3585,http://highburydental.co.nz/,4.8,18,OPERATIONAL,https://maps.google.com/?cid=2896301177206876974&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Lumino Broadway Dental | Lumino The Dentists,"187 Broadway Avenue, Palmerston North Central, Palmerston North 4410, New Zealand",06 358 5386,+64 6 358 5386,https://lumino.co.nz/dentists/lumino-broadway-dental/?utm_source=google_business_profile&utm_medium=organic,4.1,78,OPERATIONAL,https://maps.google.com/?cid=4902226897276799615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Dental Art,"118 Fitzherbert Avenue, West End, Palmerston North 4410, New Zealand",06 356 6197,+64 6 356 6197,https://dentalart.nz/,4.7,19,OPERATIONAL,https://maps.google.com/?cid=17322088351820543723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Palmerston North Intermediate Normal Dental Clinic,"Palmerston North Central, Palmerston North 4410, New Zealand",06 358 0547,+64 6 358 0547,,5,4,OPERATIONAL,https://maps.google.com/?cid=2959396355788804801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 3:30 PM; Tuesday: 8:30 AM – 3:30 PM; Wednesday: 8:30 AM – 3:30 PM; Thursday: 8:30 AM – 3:30 PM; Friday: 8:30 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Grey Street Dental Surgery,"188 Grey Street, Palmerston North Central, Palmerston North 4414, New Zealand",06 357 1285,+64 6 357 1285,http://www.greystdental.co.nz/,4.7,23,OPERATIONAL,https://maps.google.com/?cid=17168691196345092600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
Lumino Main Street | Lumino The Dentists,"506 Main Street, Palmerston North Central, Palmerston North 4440, New Zealand",06 358 4102,+64 6 358 4102,https://lumino.co.nz/dentists/lumino-main-street/?utm_source=google_business_profile&utm_medium=organic,3.9,21,OPERATIONAL,https://maps.google.com/?cid=6309556697818848532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Manawatū-Whanganui,Palmerston North,no_prices,2026-03-18
