name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Blenheim Dental Care,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,http://blenheimdentalcare.co.nz/,4.3,11,OPERATIONAL,https://maps.google.com/?cid=372593275305567037&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Durrheim & Associates,"4 Richardson Avenue, Burleigh, Blenheim 7201, New Zealand",03 578 5843,+64 3 578 5843,https://www.durrheimandassociates.co.nz/,4.2,30,OPERATIONAL,https://maps.google.com/?cid=5284504109232542758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,needs_verification,Marlborough,Blenheim,no_prices
Seymour Dental Centre,"62 Seymour Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 4203,+64 3 578 4203,https://seymourdental.nz/,4,26,OPERATIONAL,https://maps.google.com/?cid=10788048146626662204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Seymour Smiles Blenheim | Lumino The Dentists,"67 Seymour Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 7726,+64 3 578 7726,https://lumino.co.nz/dentists/seymour-smiles-blenheim/?utm_source=google_business_profile&utm_medium=organic,4.5,28,OPERATIONAL,https://maps.google.com/?cid=8242339905839657736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:15 AM – 5:00 PM; Tuesday: 8:15 AM – 5:00 PM; Wednesday: 8:15 AM – 5:00 PM; Thursday: 8:15 AM – 5:00 PM; Friday: 8:15 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Beattie Rose And Gilchist,"16 Francis Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 5135,+64 3 578 5135,,4.3,14,OPERATIONAL,https://maps.google.com/?cid=11827012849372804788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:30 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,needs_verification,Marlborough,Blenheim,no_prices
Community Oral Health Service,"56 Nelson Street, Springlands, Blenheim 7201, New Zealand",0800 833 849,+64 800 833 849,,3.7,3,OPERATIONAL,https://maps.google.com/?cid=7914923685116362872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Redwood Denture Services,"98 Howick Road, Redwoodtown, Blenheim 7201, New Zealand",020 4052 5002,+64 20 4052 5002,,5,5,OPERATIONAL,https://maps.google.com/?cid=6128493395019629252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Smilewise Ltd,"71 Alfred Street, Blenheim Central, Blenheim 7201, New Zealand",03 578 4344,+64 3 578 4344,,5,2,OPERATIONAL,https://maps.google.com/?cid=13204637140298002150&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 9:00 AM – 4:30 PM; Wednesday: 9:00 AM – 4:30 PM; Thursday: 9:00 AM – 4:30 PM; Friday: 9:00 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Marlborough,Blenheim,no_prices
Wairau Hospital,"30 Hospital Road, Witherlea, Blenheim 7201, New Zealand",03 520 9999,+64 3 520 9999,https://www.nmdhb.govt.nz/hospitals-and-community-services/hospitals/wairau-hospital/,3.6,78,OPERATIONAL,https://maps.google.com/?cid=1081127275368922448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,needs_verification,Marlborough,Blenheim,no_prices
Leonard & Koorey,"150 Middle Renwick Road, Springlands, Blenheim 7201, New Zealand",03 578 9009,+64 3 578 9009,,,,OPERATIONAL,https://maps.google.com/?cid=14983561058410391459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,needs_verification,Marlborough,Blenheim,no_prices
