name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Nelson Dental Centre,"41A Halifax Street, Nelson 7010, New Zealand",03 548 4445,+64 3 548 4445,http://www.nelsondental.co.nz/,4,51,OPERATIONAL,https://maps.google.com/?cid=13490932175098274384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Dental Care Nelson,"193 Rutherford Street, Nelson 7010, New Zealand",03 548 8840,+64 3 548 8840,,5,11,OPERATIONAL,https://maps.google.com/?cid=9748447492665031376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Access Dental NZ Ltd | Nelson Dental Surgery,"122 Kawai Street, Nelson South, Nelson 7010, New Zealand",03 548 3971,+64 3 548 3971,http://www.accessdental.co.nz/,4.9,353,OPERATIONAL,https://maps.google.com/?cid=12031847740550290665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,full_prices
Gentle Dental Nelson Ltd,"32 Bridge Street, Nelson 7010, New Zealand",03 548 4601,+64 3 548 4601,http://www.gentledentalnelson.co.nz/,4.5,68,OPERATIONAL,https://maps.google.com/?cid=8163638863510554812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
AM Dental Ltd.,"193 Milton Street, The Wood, Nelson 7010, New Zealand",03 548 4345,+64 3 548 4345,http://fellworthhouse.co.nz/,4.6,60,OPERATIONAL,https://maps.google.com/?cid=7475851385290157047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Nelson/Tasman,Nelson,no_prices
Nelson Hospital Dental Department,"Nelson South, Nelson 7010, New Zealand",03 546 1973,+64 3 546 1973,https://www.nmdhb.govt.nz/health-services/community-and-outpatient-services/hospital-oral-health-service/,5,2,OPERATIONAL,https://maps.google.com/?cid=15552361795197117027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Quin Dental,"14 New Street, Nelson 7010, New Zealand",03 928 0121,+64 3 928 0121,http://quindental.nz/,5,11,OPERATIONAL,https://maps.google.com/?cid=2436790981098848898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Lumino Nelson | Lumino The Dentists,"72 Collingwood Street, Nelson 7010, New Zealand",03 548 3693,+64 3 548 3693,https://lumino.co.nz/dentists/lumino-nelson/?utm_source=google_business_profile&utm_medium=organic,4.6,24,OPERATIONAL,https://maps.google.com/?cid=15937685763708156646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,some_prices
One Dental Nelson - Stoke,"575 Main Road Stoke, Stoke, Nelson 7011, New Zealand",03 547 7725,+64 3 547 7725,http://www.onedental.co.nz/,4.7,98,OPERATIONAL,https://maps.google.com/?cid=17282486875112458144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Advanced Dental,"70 Collingwood Street, Nelson 7010, New Zealand",03 548 4675,+64 3 548 4675,https://www.advanceddental.co.nz/,4.7,21,OPERATIONAL,https://maps.google.com/?cid=18188072451340246668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Munro Dental,"37 Bridge Street, Nelson 7010, New Zealand",03 548 0000,+64 3 548 0000,http://www.munrodental.co.nz/,4.9,21,OPERATIONAL,https://maps.google.com/?cid=10931002427547438696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Fresh Dental,"5 Bail Street, Stoke, Nelson 7011, New Zealand",03 547 6799,+64 3 547 6799,http://freshdental.co.nz/?utm_source=gmb&utm_medium=organic,4.6,18,OPERATIONAL,https://maps.google.com/?cid=12947379589021829280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,some_prices
Tahunanui Dental Centre,"85 Tahunanui Drive, Tāhunanui, Nelson 7011, New Zealand",03 548 6564,+64 3 548 6564,https://www.tahunanuidental.co.nz/,4.5,11,OPERATIONAL,https://maps.google.com/?cid=4045980183485001255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Fellworth House - AM Dental,"193 Milton Street, The Wood, Nelson 7010, New Zealand",03 548 4345,+64 3 548 4345,http://fellworthhouse.co.nz/,4.8,8,OPERATIONAL,https://maps.google.com/?cid=9477092764883868942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Nelson/Tasman,Nelson,no_prices
Nelson Oral Surgery,"37 Manuka Street, Nelson 7010, New Zealand",03 548 0838,+64 3 548 0838,http://www.nelsonoralsurgery.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=2371570905375252637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Nelson,no_prices
Dental Care Richmond,"12 Salisbury Road, Richmond 7020, New Zealand",03 543 9230,+64 3 543 9230,,5,15,OPERATIONAL,https://maps.google.com/?cid=14603568804232482152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Richmond,no_prices
Tasman Dental Centre,"Lower Queen Street Health, 355 Queen Street, Richmond, Nelson 7020, New Zealand",03 544 6776,+64 3 544 6776,http://www.tasmandental.co.nz/,4.3,6,OPERATIONAL,https://maps.google.com/?cid=633070357022476379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Nelson Denture Clinic,"52 Waimea Road, Nelson South, Nelson 7010, New Zealand",03 548 1478,+64 3 548 1478,https://www.nelsondentureclinic.co.nz/,5,98,OPERATIONAL,https://maps.google.com/?cid=12794026151871037534&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson,no_prices
Community Oral Health Services,"32 Franklyn Street, Nelson South, Nelson 7010, New Zealand",03 539 5324,+64 3 539 5324,,5,3,OPERATIONAL,https://maps.google.com/?cid=14367006894282388003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Nelson,no_prices
