name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Kowhai Dental Whangārei,"61-65 Maunu Road, Woodhill, Whangārei 0110, New Zealand",09 430 0707,+64 9 430 0707,https://www.kowhaidental.co.nz/,4.8,782,OPERATIONAL,https://maps.google.com/?cid=3218589431291469955&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Dental North,"15 Porowini Avenue, Morningside, Whangārei 0110, New Zealand",09 777 0114,+64 9 777 0114,http://www.dentalnorth.co.nz/,4.9,152,OPERATIONAL,https://maps.google.com/?cid=9917479973049067833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:30 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 7:30 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Maunu Dental,"19 Maunu Road, Maunu, Whangārei 0110, New Zealand",09 438 4400,+64 9 438 4400,http://www.maunudental.co.nz/,4.9,137,OPERATIONAL,https://maps.google.com/?cid=1291004012111773458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Kensington Dental,"22 Kensington Avenue, Kensington, Whangārei 0112, New Zealand",09 437 0043,+64 9 437 0043,https://www.kensingtondental.co.nz/,4.8,76,OPERATIONAL,https://maps.google.com/?cid=17373407141048355782&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Team Dental Whangarei,"34/48 Reyburn Street, Whangārei 0110, New Zealand",09 438 4760,+64 9 438 4760,https://www.team-dental.co.nz/northland/whangarei/?utm_campaign=whangarei&utm_medium=gbp&utm_source=google,4.7,192,OPERATIONAL,https://maps.google.com/?cid=954584607759340842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Smile Care Dental Studio,"142 Bank Street, Regent, Whangārei 0112, New Zealand",09 438 8181,+64 9 438 8181,https://www.smilecaredentalstudio.co.nz/contact.html,4.9,105,OPERATIONAL,https://maps.google.com/?cid=11043352131560039505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Kamo Community Oral Health Clinic,"3 Grant Street, Te Kamo, Whangārei 0112, New Zealand",0800 698 3384,+64 800 698 3384,https://www.northlanddhb.org.nz/our-services/a-z/oral-health-service/,5,6,OPERATIONAL,https://maps.google.com/?cid=4907900915891595400&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
youDENTAL,"17 Rust Avenue, Whangārei 0110, New Zealand",09 430 0046,+64 9 430 0046,http://www.youdental.co.nz/,4.8,34,OPERATIONAL,https://maps.google.com/?cid=10726046062587010023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Bank Street Whangarei | Lumino The Dentists,"Level 1/120 Bank Street, Whangārei 0112, New Zealand",09 438 7300,+64 9 438 7300,https://lumino.co.nz/dentists/bank-street-dental-whangarei/?utm_source=google_business_profile&utm_medium=organic,4.6,78,OPERATIONAL,https://maps.google.com/?cid=4996613844216228738&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Kowhai Dental Kensington,"8 Kensington Avenue, Kensington, Whangārei 0112, New Zealand",09 430 0707,+64 9 430 0707,http://www.kowhaidental.co.nz/,4.8,11,OPERATIONAL,https://maps.google.com/?cid=13060043408284828889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 3:00 PM; Tuesday: 7:00 AM – 3:00 PM; Wednesday: 7:00 AM – 3:00 PM; Thursday: 7:00 AM – 3:00 PM; Friday: 7:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Tikipunga Dental Centre,"Shop 13/81 Paramount Parade, Tikipunga, Whangārei 0112, New Zealand",09 553 3640,+64 9 553 3640,https://www.tikipungadentalcentre.nz/,4.9,103,OPERATIONAL,https://maps.google.com/?cid=5361310003534100459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Kamo Dental,"2 Grant Street, Te Kamo, Whangārei 0112, New Zealand",09 435 1431,+64 9 435 1431,http://kamodental.co.nz/,4.6,11,OPERATIONAL,https://maps.google.com/?cid=14708633504669318824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Baylis Dental Services Ltd,"41 Maunu Road, Woodhill, Whangārei 0110, New Zealand",09 988 9918,+64 9 988 9918,,5,6,OPERATIONAL,https://maps.google.com/?cid=16009279323928201805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Gentle Dental Company - Gus Cameron,"2/17 Rust Avenue, Whangārei 0110, New Zealand",09 430 0046,+64 9 430 0046,,3.8,9,OPERATIONAL,https://maps.google.com/?cid=8587357042410832791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
Rescue Dentist - Dr. Dennis Shepherd,"2 Puriri Park Road, Maunu, Whangārei 0110, New Zealand",09 438 7694,+64 9 438 7694,https://www.rescuedentist.co.nz/,5,32,OPERATIONAL,https://maps.google.com/?cid=5031370166491119348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: 8:30 AM – 4:30 PM; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Northland,Whangārei,no_prices
The Gentle Dental Company,"1/17 Rust Avenue, Whangārei 0110, New Zealand",09 438 7744,+64 9 438 7744,,5,2,OPERATIONAL,https://maps.google.com/?cid=2445442847065716183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Northland,Whangārei,no_prices
