name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Dunedin Dental,"Dunedin Dental Building 1/169 Princes Street, Central City, Dunedin 9016, New Zealand",03 477 4829,+64 3 477 4829,http://www.dunedindental.co.nz/,4.9,86,OPERATIONAL,https://maps.google.com/?cid=7793601166292115151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,some_prices
Dental Care Dunedin,"504 George Street, Dunedin North, Dunedin 9016, New Zealand",03 477 8751,+64 3 477 8751,https://dunedindentalcare.nz/,5,26,OPERATIONAL,https://maps.google.com/?cid=5884053572004212434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,no_prices
Bell Hill Dental,"109 Princes Street, Central Dunedin, Dunedin 9016, New Zealand",03 477 8387,+64 3 477 8387,https://www.bellhilldental.co.nz/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_term=home,4.9,74,OPERATIONAL,https://maps.google.com/?cid=5277433504675763758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,no_prices
Synergy Dental,"8 Water Street Level 7 John Wickliffe House, 265 Princes Street, Central Dunedin, Dunedin 9016, New Zealand",03 477 1447,+64 3 477 1447,https://www.synergydental.co.nz/,4.7,93,OPERATIONAL,https://maps.google.com/?cid=3925472061899076606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:30 AM – 8:00 PM; Tuesday: 7:30 AM – 8:00 PM; Wednesday: 7:30 AM – 8:00 PM; Thursday: 7:30 AM – 8:00 PM; Friday: 8:30 AM – 4:30 PM; Saturday: 8:30 AM – 4:30 PM; Sunday: Closed,dental_clinic,Otago,Dunedin,full_prices
Gardens Dental Dunedin,"26 Bank Street, North East Valley, Dunedin 9010, New Zealand",03 470 1391,+64 3 470 1391,https://gardensdental.nz/,5,3,OPERATIONAL,https://maps.google.com/?cid=10874384477524009593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,no_prices
Smile Co Dental,"373 Princes Street, Dunedin 9016, New Zealand",03 477 7993,+64 3 477 7993,https://www.smilecodental.nz/,4.8,31,OPERATIONAL,https://maps.google.com/?cid=7036295212244867717&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,no_prices
Dunedin South Community Oral Health Clinic,"225 Macandrew Road, South Dunedin, Dunedin 9012, New Zealand",0800 672 543,+64 800 672 543,https://www.southernhealth.nz/services/dunedin-south-community-oral-health-clinic,4.2,6,OPERATIONAL,https://maps.google.com/?cid=16683903948390164492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,no_prices
The Dental Walrus,"27I Albany Street, Dunedin North, Dunedin 9016, New Zealand",03 470 1156,+64 3 470 1156,,4.8,32,OPERATIONAL,https://maps.google.com/?cid=3950792439156217941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Otago,Dunedin,no_prices
Smart Dental Care,"161 High Street, Central Dunedin, Dunedin 9016, New Zealand",03 453 5223,+64 3 453 5223,http://smartdental.co.nz/,4.8,26,OPERATIONAL,https://maps.google.com/?cid=7402459009418357120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 5:30 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Otago,Dunedin,full_prices
Faculty of Dentistry,"310 Great King Street North, Dunedin North, Dunedin 9016, New Zealand",03 479 8889,+64 3 479 8889,http://www.otago.ac.nz/dentistry,3.6,46,OPERATIONAL,https://maps.google.com/?cid=4357133845065247946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Otago,Dunedin,full_prices
