name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town
Brightwater School Dental Clinic,"106 Ellis Street, Brightwater 7022, New Zealand",03 541 8333,+64 3 541 8333,,,,CLOSED_PERMANENTLY,https://maps.google.com/?cid=15052638000933087374&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Brightwater
Mapua Dental Service,"101-A Aranui Road, Māpua 7005, New Zealand",03 548 6564,+64 3 548 6564,,5,2,OPERATIONAL,https://maps.google.com/?cid=10972726854839927435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Māpua
Mapua School Dental Clinic,"4 Stafford Drive, Māpua 7005, New Zealand",03 540 2601,+64 3 540 2601,,,,OPERATIONAL,https://maps.google.com/?cid=15896283092965292254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Māpua
One Dental - Mapua,"66 Aranui Road, Best Island, Māpua 7005, New Zealand",03 540 3440,+64 3 540 3440,http://www.onedental.co.nz/,5,13,OPERATIONAL,https://maps.google.com/?cid=17265427583643169763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Māpua
Emmaus Dental | Motueka,"20 Greenwood Street, Motueka 7120, New Zealand",03 528 0303,+64 3 528 0303,http://www.emmaus.dental/,4.6,10,OPERATIONAL,https://maps.google.com/?cid=12353055678118090449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Motueka
Steph Wills Dental Motueka,"106 High Street, Motueka 7120, New Zealand",03 528 0032,+64 3 528 0032,https://www.stephwillsdental.co.nz/,4,16,OPERATIONAL,https://maps.google.com/?cid=17289652665837014653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Motueka
Access Dental NZ Ltd | Nelson Dental Surgery,"122 Kawai Street, Nelson South, Nelson 7010, New Zealand",03 548 3971,+64 3 548 3971,http://www.accessdental.co.nz/,4.9,353,OPERATIONAL,https://maps.google.com/?cid=12031847740550290665&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Advanced Dental,"70 Collingwood Street, Nelson 7010, New Zealand",03 548 4675,+64 3 548 4675,https://www.advanceddental.co.nz/,4.7,21,OPERATIONAL,https://maps.google.com/?cid=18188072451340246668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
AM Dental Ltd.,"193 Milton Street, The Wood, Nelson 7010, New Zealand",03 548 4345,+64 3 548 4345,http://fellworthhouse.co.nz/,4.6,60,OPERATIONAL,https://maps.google.com/?cid=7475851385290157047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,dental_clinic,Nelson/Tasman,Nelson
Community Oral Health,"225 Nayland Road, Stoke, Nelson 7011, New Zealand",03 539 5321,+64 3 539 5321,,,,OPERATIONAL,https://maps.google.com/?cid=6105728142500354805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Nelson/Tasman,Nelson
Community Oral Health Services,"32 Franklyn Street, Nelson South, Nelson 7010, New Zealand",03 539 5324,+64 3 539 5324,,5,3,OPERATIONAL,https://maps.google.com/?cid=14367006894282388003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Nelson/Tasman,Nelson
