name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Invercargill City Dentists,"89 Don Street, Invercargill 9810, New Zealand",03 218 3456,+64 3 218 3456,https://www.invercargillcitydentists.co.nz/,3.6,34,OPERATIONAL,https://maps.google.com/?cid=17535963629746137466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Windsor Street Dental,"Windsor Street, Windsor, Invercargill 9810, New Zealand",03 217 7134,+64 3 217 7134,https://www.windsorstreetdental.nz/,5,8,OPERATIONAL,https://maps.google.com/?cid=9342033664724214455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Tooth Works,"Opus House 65 Arena Avenue, Avenal, Invercargill 9810, New Zealand",03 218 4937,+64 3 218 4937,https://toothworks.co.nz/,4.8,24,OPERATIONAL,https://maps.google.com/?cid=2762834025038184518&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
The Dentist on Kelvin,"27 Kelvin Street, Invercargill 9810, New Zealand",03 218 6280,+64 3 218 6280,,4.2,38,OPERATIONAL,https://maps.google.com/?cid=5340158484390774519&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
John Harris Dental Surgery,"79 Don Street, Invercargill 9810, New Zealand",03 218 8356,+64 3 218 8356,http://www.johnharrisdental.co.nz/,4.6,9,OPERATIONAL,https://maps.google.com/?cid=5446363049926170396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 9:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Remarkable Smile Dentistry,"83 Don Street, Invercargill 9810, New Zealand",03 218 3257,+64 3 218 3257,https://www.remarkablesmile.co.nz/,5,20,OPERATIONAL,https://maps.google.com/?cid=8102424596086318190&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Lumino Invercargill | Lumino The Dentists,"52 Victoria Avenue, Avenal, Invercargill 9810, New Zealand",03 218 3036,+64 3 218 3036,https://lumino.co.nz/dentists/lumino-invercargill/?utm_source=google_business_profile&utm_medium=organic,4,15,OPERATIONAL,https://maps.google.com/?cid=15094656929293988437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Waihopai Dental Clinic,"90 Alice Street, Gladstone, Invercargill 9810, New Zealand",03 218 7744,+64 3 218 7744,,5,2,OPERATIONAL,https://maps.google.com/?cid=12459095642625426837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Southland,Invercargill,no_prices
Dougherty Dental,"74 Kelvin Street, Invercargill 9810, New Zealand",03 218 9687,+64 3 218 9687,http://www.doughertydental.co.nz/,3.2,9,OPERATIONAL,https://maps.google.com/?cid=287177989966765946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 12:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
Oral Surgery South,"223 Spey Street, Invercargill 9810, New Zealand",03 218 3320,+64 3 218 3320,http://ossouth.nz/,5,10,OPERATIONAL,https://maps.google.com/?cid=12300287053379271424&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 4:30 PM; Tuesday: Closed; Wednesday: 8:30 AM – 4:30 PM; Thursday: 8:30 AM – 4:30 PM; Friday: 8:30 AM – 2:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Southland,Invercargill,no_prices
