name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
New Plymouth Dental Centre,"79 Liardet Street, New Plymouth Central, New Plymouth 4310, New Zealand",06 758 2433,+64 6 758 2433,https://www.newplymouthdental.co.nz/,3,49,OPERATIONAL,https://maps.google.com/?cid=2463019069836848221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Dental Delight Molesworth Street,"56 Molesworth Street, New Plymouth Central, New Plymouth 4310, New Zealand",06 759 4066,+64 6 759 4066,http://www.dentaldelight.nz/,4.8,63,OPERATIONAL,https://maps.google.com/?cid=8494046315486257494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:15 AM – 5:00 PM; Tuesday: 8:15 AM – 5:00 PM; Wednesday: 8:15 AM – 5:00 PM; Thursday: 8:15 AM – 5:00 PM; Friday: 8:15 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Mangorei Dental Care,"200 Mangorei Road, Merrilands, New Plymouth 4312, New Zealand",06 759 4059,+64 6 759 4059,http://www.mangoreidental.co.nz/,4.7,27,OPERATIONAL,https://maps.google.com/?cid=15180664947301788779&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Dental Delight The Valley,"1 Struthers Place, Waiwhakaiho, New Plymouth 4312, New Zealand",06 759 8690,+64 6 759 8690,https://dentaldelight.nz/,4.6,27,OPERATIONAL,https://maps.google.com/?cid=7723173444583583817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:15 AM – 5:00 PM; Tuesday: 8:15 AM – 5:00 PM; Wednesday: 8:15 AM – 5:00 PM; Thursday: 8:15 AM – 5:00 PM; Friday: 8:15 AM – 3:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: 10:00 AM – 2:00 PM,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Dental Delight Hori Street,"30 Hori Street, Vogeltown, New Plymouth 4310, New Zealand",06 753 0943,+64 6 753 0943,http://dentaldelight.nz/,4.8,78,OPERATIONAL,https://maps.google.com/?cid=14909596836847871463&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Vivian Dental,"53 Vivian Street, New Plymouth Central, New Plymouth 4310, New Zealand",06 758 4747,+64 6 758 4747,http://www.viviandental.co.nz/,4.1,25,OPERATIONAL,https://maps.google.com/?cid=17036930109292245898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Pure Dental,"465 Devon Street East, Strandon, New Plymouth 4312, New Zealand",06 758 5629,+64 6 758 5629,http://www.puredental.co.nz/,4.5,18,OPERATIONAL,https://maps.google.com/?cid=13457276135376791116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 2:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Lees Dental Company,"124 Saint Aubyn Street, New Plymouth Central, New Plymouth 4310, New Zealand",06 759 1630,+64 6 759 1630,http://www.leesdental.co.nz/,3.9,11,OPERATIONAL,https://maps.google.com/?cid=17618421520320241493&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
New Plymouth Dental Practice | Lumino The Dentists,"54 Lemon Street, New Plymouth Central, Gore 4310, New Zealand",06 758 2358,+64 6 758 2358,https://lumino.co.nz/dentists/new-plymouth-dental-practice/?utm_source=google_business_profile&utm_medium=organic,4.2,29,OPERATIONAL,https://maps.google.com/?cid=9599083628392650485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
Medicross Dental and Orthodontics,"21 Northgate, Strandon, New Plymouth 4312, New Zealand",06 757 3600,+64 6 757 3600,https://www.medicrossdentists.co.nz/,4,9,OPERATIONAL,https://maps.google.com/?cid=10399625962421460375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: Closed; Tuesday: Closed; Wednesday: 9:00 AM – 6:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Taranaki,New Plymouth,no_prices,2026-03-18
