name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
Hamilton Dental Emergency Centre,"481 Anglesea Street, Hamilton Central, Hamilton 3204, New Zealand",07 834 9293,+64 7 834 9293,http://www.hamiltonemergencydentist.co.nz/,4.6,518,OPERATIONAL,https://maps.google.com/?cid=4812227232815291222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 7:00 AM – 7:00 PM; Sunday: 9:00 AM – 5:00 PM,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Victoria Dentists,"270 Victoria Street, Hamilton Central, Hamilton 3204, New Zealand",07 839 1660,+64 7 839 1660,http://victoriadentists.co.nz/,4.9,115,OPERATIONAL,https://maps.google.com/?cid=7933417903959678506&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Gentle Dental Hamilton,"24 Harwood Street, Hamilton Central, Hamilton 3204, New Zealand",07 839 0353,+64 7 839 0353,http://gentledentalhamilton.com/contact-us.php,4.8,54,OPERATIONAL,https://maps.google.com/?cid=16686679907469211214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 6:30 PM; Friday: 8:30 AM – 12:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Hamilton East Dental Centre,"395 Grey Street, Hamilton East, Hamilton 3216, New Zealand",07 856 6438,+64 7 856 6438,https://hamiltoneastdentalcentre.co.nz/,4.2,21,OPERATIONAL,https://maps.google.com/?cid=8375068150200905889&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
City Smile Dental - Anglesea St Dentist Hamilton,"487D Anglesea Street, Hamilton Central, Hamilton 3204, New Zealand",0800 248 976,+64 800 248 976,https://citysmiledental.co.nz/,4.7,328,OPERATIONAL,https://maps.google.com/?cid=16612089689001492899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 3:00 PM; Sunday: 9:00 AM – 1:00 PM,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Garden Place Dental Hamilton | Lumino The Dentists,"Level 3/24 Garden Place, Hamilton Central, Hamilton 3204, New Zealand",07 839 5862,+64 7 839 5862,https://lumino.co.nz/dentists/garden-place-dental-hamilton/?utm_source=google_business_profile&utm_medium=organic,4.8,48,OPERATIONAL,https://maps.google.com/?cid=5963412896873647720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Dental Holistix,"Cnr Anglesea &, Thackeray Street, Hamilton Central, Hamilton 3204, New Zealand",07 858 0750,+64 7 858 0750,https://dentalholistix.co.nz/,4.9,95,OPERATIONAL,https://maps.google.com/?cid=16748439580955911040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Hamilton Dental Clinic,"41 Karewa Place, Pukete, Hamilton 3200, New Zealand",0800 765 777,+64 800 765 777,https://hamiltondental.nz/,5,3,OPERATIONAL,https://maps.google.com/?cid=4398674238964196027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Oral Hygiene Clinic,"7/113 Alexandra Street, Hamilton Central, Hamilton 3204, New Zealand",022 610 0425,+64 22 610 0425,http://www.oralhygieneclinic.co.nz/,5,57,OPERATIONAL,https://maps.google.com/?cid=225981587615419116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:30 PM; Tuesday: 9:00 AM – 1:00 PM; Wednesday: 9:00 AM – 4:30 PM; Thursday: 9:00 AM – 4:30 PM; Friday: 9:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
Waikato Dental,"1000 Victoria Street, Whitiora, Hamilton 3200, New Zealand",07 839 5298,+64 7 839 5298,https://www.waikatodental.com/,4.4,64,OPERATIONAL,https://maps.google.com/?cid=8050383388437372482&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Waikato,Hamilton Central,no_prices,2026-03-18
