name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price
Wellington Dentists Ltd,"124A Willis Street, Te Aro, Wellington 6011, New Zealand",04 499 1091,+64 4 499 1091,http://www.wellingtondentist.co.nz/,4.9,837,OPERATIONAL,https://maps.google.com/?cid=7907761934923899664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
The Wellington Dental Practice,"Kelvin House, Level 2, 16 The Terrace, Wellington Central, Wellington 6011, New Zealand",04 472 5516,+64 4 472 5516,http://www.wellingtondental.co.nz/,4.9,161,OPERATIONAL,https://maps.google.com/?cid=17532042885646362091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
City Dentists,"119/123 Featherston Street, Wellington Central, Wellington 6011, New Zealand",04 978 4964,+64 4 978 4964,https://www.citydentists.co.nz/,4.9,331,OPERATIONAL,https://maps.google.com/?cid=8923176765612725766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 4:00 PM; Friday: 7:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Supreme Dental Concepts,"32 Lorne Street, Te Aro, Wellington 6011, New Zealand",04 801 6228,+64 4 801 6228,https://www.supremedentalconcepts.co.nz/?utm_source=gmb&utm_medium=organic&utm_campaign=Google+My+Business,4.9,387,OPERATIONAL,https://maps.google.com/?cid=7461946122181272282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 9:00 AM – 7:00 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 4:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Victoria Street Dental,"Level 6/86 Victoria Street, Te Aro, Wellington 6011, New Zealand",04 555 1001,+64 4 555 1001,http://victoriastreetdental.co.nz/,4.9,149,OPERATIONAL,https://maps.google.com/?cid=15359564905758706612&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Central Dental Surgery,"Harbour City Tower tower level 6/29 Brandon Street, Te Aro, Wellington 6011, New Zealand",04 472 6306,+64 4 472 6306,,4.7,53,OPERATIONAL,https://maps.google.com/?cid=17995911631534408844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Capital Dental The Terrace,"Ground Floor, Montreaux Apartments, 164 The Terrace, Wellington Central, Wellington 6011, New Zealand",04 499 9360,+64 4 499 9360,http://www.capitaldental.co.nz/,4.7,110,OPERATIONAL,https://maps.google.com/?cid=1532247437273271527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Lumino The Terrace Dental Practice | Lumino The Dentists,"1st Floor/50 The Terrace, Wellington Central, Wellington 6011, New Zealand",04 472 5022,+64 4 472 5022,https://lumino.co.nz/dentists/the-terrace-dental-practice-wellington-cbd/?utm_source=google_business_profile&utm_medium=organic,4.9,65,OPERATIONAL,https://maps.google.com/?cid=990461966665530923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Capital Dental Brandon Street,"Harbour City tower level 6/29 Brandon Street, Wellington Central, Wellington 6011, New Zealand",04 473 7632,+64 4 473 7632,http://brandonstreetdentists.co.nz/,4.8,46,OPERATIONAL,https://maps.google.com/?cid=179950696904144853&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
Gentle Dental Centre,"Level 7/276 Lambton Quay, Wellington Central, Wellington 6011, New Zealand",04 473 8208,+64 4 473 8208,https://gentledental.co.nz/,4.4,56,OPERATIONAL,https://maps.google.com/?cid=13207539198650161776&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Wellington,Wellington CBD,no_prices
